GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Transportation,fr.ufc.l3info.oprog,Network,4,245,2,42,0,57,2,28,0,8
Transportation,fr.ufc.l3info.oprog,AdjustedTicket,0,46,0,2,0,13,0,8,0,7
Transportation,fr.ufc.l3info.oprog,Station.LineInfo,0,9,0,0,0,4,0,1,0,1
Transportation,fr.ufc.l3info.oprog,Barrier,5,214,13,39,2,41,13,19,0,6
Transportation,fr.ufc.l3info.oprog,BaseTicket,0,74,0,10,0,21,0,12,0,7
Transportation,fr.ufc.l3info.oprog,Station,11,127,5,25,4,30,6,19,1,9
